1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145
State: Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Jamnagar,16,4,125,125,0,125,0,0,0,0,0,15,76,1,2,5,310,227,3,190,21,10,3,83,60,23,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,38,2,2,0,0,0,0,31,0,0,5,0,0,0,0,11,0,0,630,0,0,0,0,2,45,0,0,0,0,0,4,0,0,2,0,0,0,13,0,0,0,26,0,0,0,5,52,215,142,73,109,4,105,20,22,0,5,5,0,0,0,30,0,401,2,0,0,0,2,22,4,0,4,0,0,11,7,24,0,449,1,0,384,83,86,215,507,0,0,0,0,0,7,11,81,0,178,0,1618,56,2781
18,Junagadh,18,1,89,68,3,65,0,0,0,21,0,20,19,0,1,3,267,229,0,190,15,18,6,38,21,17,0,0,0,0,0,0,20,18,1,0,0,0,1,0,0,1,58,17,2,15,0,0,1,36,0,0,4,0,0,0,0,13,0,0,509,0,0,0,0,6,57,0,1,0,1,4,4,0,0,1,1,2,4,5,0,1,3,30,2,2,0,3,68,139,84,55,62,3,59,7,15,0,1,1,0,0,0,33,0,257,1,0,0,0,1,32,12,2,1,3,6,15,5,33,0,20,0,0,396,40,298,58,58,0,0,8,0,1,7,16,150,0,392,1,1049,48,1964
19,Kachchh East(G),22,0,162,162,0,162,0,0,0,0,0,12,8,0,0,2,191,122,1,107,6,6,2,69,51,17,1,0,0,0,0,1,18,0,18,0,0,0,18,0,0,0,34,18,8,10,0,0,0,15,0,0,1,0,0,0,0,10,10,1,471,0,0,0,0,1,40,5,0,0,0,6,2,0,0,1,12,0,0,14,0,0,0,0,2,2,0,2,45,255,178,77,95,12,83,5,32,0,6,6,0,0,0,11,0,404,2,0,0,0,2,31,0,0,0,0,0,27,4,33,0,39,0,0,457,185,65,207,331,0,0,3,0,0,4,11,51,0,163,0,1059,0,2012
20,Kachchh West(B),20,0,140,140,0,140,0,0,0,0,0,14,14,0,0,1,189,138,1,121,4,10,2,51,40,11,0,0,0,0,0,0,14,0,9,1,0,0,8,3,0,2,25,7,7,0,0,0,0,14,0,0,4,0,0,0,0,17,0,4,438,0,0,0,0,6,53,1,0,2,2,6,0,0,0,0,0,0,32,0,2,0,1,7,0,0,0,0,59,163,72,91,85,19,66,5,1,0,4,4,0,0,0,14,0,272,1,0,0,0,1,54,5,1,1,1,2,32,17,55,0,8,0,0,296,115,40,141,201,0,0,4,0,4,4,9,68,0,233,0,827,11,1662
21,Kheda,28,2,228,187,22,165,0,0,0,41,0,14,13,0,0,10,168,116,8,100,7,0,1,52,46,6,0,0,0,0,0,1,23,16,5,0,0,1,4,0,2,0,48,40,5,35,0,0,0,8,0,0,0,0,0,0,0,7,0,0,542,0,0,0,0,9,31,0,2,0,0,3,1,0,0,0,1,2,2,0,0,0,1,19,0,0,0,0,40,144,90,54,67,8,59,3,5,0,4,4,0,0,0,14,0,237,0,0,0,0,0,39,0,0,0,0,0,26,13,39,0,237,0,0,570,57,343,170,438,0,0,0,1,0,2,4,22,0,299,0,1573,438,2869
22,Mahisagar,12,1,86,86,6,80,0,0,0,0,0,5,8,0,0,6,74,36,1,31,0,4,0,38,30,7,0,0,0,1,0,1,8,8,0,0,0,0,0,0,0,0,28,25,0,25,0,0,0,1,0,0,2,0,0,0,0,5,0,1,235,0,0,0,0,0,14,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0,14,44,32,12,32,3,29,0,5,0,2,2,0,0,0,9,0,92,0,0,0,0,0,11,5,0,1,0,4,5,1,11,0,0,0,0,96,0,52,44,0,0,0,0,0,1,6,3,47,0,1,0,154,292,798
23,Mehsana,31,0,251,202,0,202,0,0,0,49,0,24,57,0,0,5,338,283,0,263,13,5,2,55,41,13,1,0,0,0,0,0,36,28,7,0,0,0,7,0,0,1,122,42,10,32,0,1,0,59,0,0,20,0,0,0,0,15,0,1,880,0,0,0,0,8,99,0,4,0,4,0,1,0,0,0,0,0,1,10,0,0,3,76,0,0,0,0,107,466,282,184,151,10,141,1,68,0,29,29,0,0,4,43,1,763,5,0,0,0,5,53,4,2,2,0,0,44,5,58,0,104,0,0,742,320,224,198,588,0,0,0,0,0,8,3,103,0,769,0,2317,16,4141
24,Morbi,26,0,187,187,21,166,0,0,0,0,0,16,25,2,0,2,112,87,0,78,4,5,0,25,13,11,0,0,0,1,0,2,13,10,3,0,0,0,3,0,0,0,27,2,2,0,0,0,1,19,0,0,5,0,0,0,0,5,0,1,418,0,0,0,0,2,29,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,24,0,0,0,0,31,120,74,46,46,5,41,4,12,0,2,2,0,0,0,29,0,213,1,0,0,0,1,1,0,0,0,0,0,1,0,2,0,7,0,0,816,686,44,86,1156,3,0,0,0,3,1,3,31,0,243,0,2263,7,2934
25,Narmada,6,3,72,72,0,72,0,0,0,0,0,3,5,0,0,2,183,157,0,155,1,1,0,26,26,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,296,0,0,0,0,0,16,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,10,0,0,0,0,16,38,28,10,8,0,8,0,3,0,2,2,0,0,0,8,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,164,0,103,61,1,0,0,1,0,0,5,4,8,0,6,0,190,10,571
26,Navsari,20,2,265,265,0,265,0,0,0,0,0,6,28,0,0,1,83,46,0,33,2,11,0,37,28,7,1,1,0,0,0,2,12,3,6,0,0,4,2,0,2,1,22,12,3,9,0,0,0,9,0,0,1,0,0,0,0,8,0,0,449,0,0,0,0,3,23,0,0,0,1,4,4,0,0,0,0,2,0,10,0,0,0,2,0,0,0,0,26,197,118,79,81,8,73,8,8,1,5,5,0,0,0,31,0,331,1,0,0,0,1,18,0,0,0,0,0,15,3,19,0,111,0,0,608,428,53,127,360,0,0,0,0,0,1,7,18,0,271,1,1377,20,2222
27,Panchmahal,32,4,213,213,29,184,0,0,0,0,0,15,17,0,0,4,155,102,0,73,7,22,0,53,42,11,0,0,0,0,0,3,38,8,20,0,0,0,20,1,0,9,18,18,5,13,0,0,0,0,0,0,0,0,0,0,0,7,0,1,507,0,0,0,0,3,31,2,7,2,2,4,3,0,1,1,1,2,2,3,0,0,1,0,0,0,0,1,35,235,125,110,85,7,78,0,12,0,5,5,0,0,0,17,0,354,0,0,0,0,0,22,0,0,0,0,0,22,0,22,0,0,0,0,449,122,146,181,70,0,0,0,0,8,0,9,65,0,550,1,1152,11,2081
28,Patan,21,0,128,128,1,127,0,0,0,0,0,14,24,0,0,0,245,201,0,193,3,3,2,44,34,9,1,0,0,0,0,0,26,12,6,2,0,1,3,7,1,0,14,6,1,5,0,0,0,2,0,0,6,0,0,0,0,10,0,2,484,0,0,0,0,8,35,1,0,0,1,1,3,0,0,0,0,0,2,0,0,0,0,27,0,0,0,0,43,213,152,61,105,4,101,3,26,0,15,15,0,1,3,15,0,381,1,0,0,0,1,10,3,2,0,0,1,7,0,11,0,72,0,1,417,178,130,109,213,1,0,0,0,1,3,8,45,0,450,0,1211,61,2191
29,Porbandar,9,3,51,51,9,42,0,0,0,0,1,6,10,0,0,4,95,67,5,55,1,5,1,28,24,4,0,0,0,0,0,0,10,5,4,0,0,2,2,0,0,1,22,17,6,11,0,0,0,0,0,0,5,0,0,0,0,4,0,0,215,0,0,0,0,2,21,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,16,0,0,0,2,25,44,26,18,35,3,32,4,6,0,1,1,0,0,0,5,0,95,1,0,0,0,1,16,2,0,2,0,0,14,0,17,0,31,1,0,222,113,68,41,167,0,1,0,0,1,3,6,42,0,169,0,643,10,1005
30,Rajkot City,45,1,160,160,0,160,0,0,0,0,0,37,33,0,0,4,271,211,1,193,11,6,0,60,0,59,0,1,0,0,0,1,17,17,0,0,0,0,0,0,0,0,78,28,0,28,0,0,0,50,0,0,0,0,0,0,0,21,0,0,668,0,0,0,0,19,46,0,0,0,0,0,0,0,0,8,0,6,5,23,0,0,0,4,4,4,0,0,69,769,597,172,147,14,133,40,56,0,8,8,0,0,0,153,0,1173,13,0,0,0,13,39,0,0,0,0,0,22,17,52,0,0,0,0,457,29,323,105,1,0,0,1,0,0,13,22,157,0,228,0,879,75,2916
31,Rajkot Rural,25,5,172,172,54,118,0,0,0,0,0,24,43,0,0,2,205,153,1,126,10,14,2,52,38,13,0,0,0,1,0,0,35,6,18,0,0,5,13,4,0,7,83,8,3,5,0,0,0,64,0,0,11,0,0,0,0,12,0,0,606,0,0,0,0,3,54,0,1,0,2,0,1,0,0,1,0,5,6,0,0,0,0,38,0,0,0,1,58,198,118,80,80,7,73,9,36,0,5,5,0,0,0,53,0,381,2,0,0,0,2,18,2,1,1,0,0,12,4,20,0,91,1,0,703,494,66,143,386,0,0,1,1,0,6,13,133,0,351,0,1686,0,2751
32,Sabarkantha,23,1,195,195,0,195,0,0,0,0,0,16,19,0,0,5,140,99,1,72,7,19,0,41,26,13,0,0,0,2,0,0,34,7,26,0,0,0,26,0,0,1,51,39,8,31,0,1,0,4,0,0,7,0,0,0,0,13,0,2,499,0,0,0,0,13,62,0,0,0,5,2,6,0,0,5,0,7,3,17,0,1,0,16,0,0,0,1,76,334,250,84,133,19,114,3,57,0,8,8,0,0,0,4,0,539,0,0,0,0,0,107,31,11,16,1,3,69,7,107,1,78,0,0,384,141,162,81,239,0,0,0,1,3,3,19,104,0,448,0,1280,12,2513
33,Surat City,89,2,248,247,209,38,0,0,0,1,0,25,103,1,0,18,560,412,2,360,35,13,2,148,105,40,1,0,0,2,0,5,70,70,0,0,0,0,0,0,0,0,332,249,246,3,0,0,12,46,0,0,25,0,0,0,0,32,0,1,1486,0,0,0,0,16,121,2,0,0,5,1,2,0,0,12,0,5,4,70,0,14,3,3,5,5,0,12,154,1905,1266,639,325,32,293,62,159,0,20,20,0,1,0,32,0,2504,7,0,0,2,5,680,31,7,3,5,16,637,12,687,0,6813,0,0,2297,1705,155,437,6166,1,8,2,1,1,8,36,217,1,837,4,16392,72,21295
34,Surat Rural,40,1,368,368,246,122,0,0,0,0,1,12,53,0,0,3,107,58,2,54,2,0,0,49,37,12,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,8,8,0,8,0,0,0,0,0,0,0,0,3,0,0,8,0,0,624,0,0,0,0,4,16,0,0,0,0,0,2,0,1,0,0,1,1,2,0,0,0,9,0,0,0,5,25,274,184,90,118,11,107,7,18,0,11,11,0,0,0,13,0,441,0,0,0,0,0,73,6,1,1,0,4,50,17,73,0,382,0,0,509,215,111,183,535,0,0,0,1,0,2,3,34,0,40,0,1506,269,2938
35,Surendranagar,31,4,203,201,28,173,0,2,0,0,1,9,22,0,0,7,265,152,1,135,12,3,1,113,90,19,0,0,0,4,0,3,2,2,0,0,0,0,0,0,0,0,51,17,0,17,0,0,1,32,0,0,1,0,0,0,0,8,0,0,606,0,0,0,0,6,58,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,51,1,1,0,0,65,144,69,75,106,20,86,10,28,0,14,14,0,0,0,12,0,314,0,0,0,0,0,6,0,0,0,0,0,5,1,6,1,49,0,0,415,170,83,162,255,0,0,3,2,6,3,14,46,0,221,0,1015,103,2109
36,Tapi,14,4,123,119,0,119,0,2,0,2,0,3,17,0,0,2,63,36,0,26,2,7,1,27,24,0,0,0,0,3,0,0,6,2,4,0,0,0,4,0,0,0,7,1,1,0,0,0,0,6,0,0,0,0,0,0,0,11,0,0,250,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,5,0,2,0,0,2,6,0,0,0,0,16,82,48,34,52,2,50,3,6,0,3,3,0,0,0,16,0,162,0,0,0,0,0,6,3,0,0,0,3,3,0,6,0,28,0,0,143,41,31,71,49,0,0,0,0,0,1,2,7,2,68,3,303,2,739
37,Vadodara City,15,0,160,160,54,106,0,0,0,0,1,14,35,2,0,4,261,186,1,151,17,17,0,75,54,16,0,0,0,5,0,5,56,16,13,0,1,3,9,1,4,22,115,45,25,20,0,0,0,56,0,0,14,0,0,0,0,10,0,0,678,0,0,0,0,14,88,13,2,0,0,3,4,2,0,5,1,2,0,23,0,0,5,28,0,0,0,7,109,1281,947,334,383,36,347,18,101,0,11,11,0,0,0,10,0,1804,5,0,0,0,5,166,1,0,1,0,0,152,13,171,0,695,0,0,1068,513,270,285,1318,0,0,0,0,0,5,15,161,0,920,0,4182,213,7157
38,Vadodara Rural,20,2,292,291,47,244,0,1,0,0,0,5,16,0,0,1,105,55,0,40,7,6,2,50,47,3,0,0,0,0,0,0,19,5,6,0,0,0,6,0,0,8,15,6,0,6,0,0,0,7,0,0,2,0,0,0,0,3,1,0,479,0,0,0,0,1,41,5,0,1,6,4,2,1,0,1,4,0,0,3,0,0,0,14,0,0,0,2,44,139,103,36,53,1,52,1,4,0,8,8,0,0,0,10,0,215,0,0,0,0,0,36,0,0,0,0,0,28,8,36,0,330,0,0,1422,1131,73,218,859,0,4,0,0,1,1,5,6,0,142,0,2770,58,3602
39,Valsad,23,1,367,367,148,219,0,0,0,0,0,10,19,0,0,3,183,97,2,65,4,26,0,86,83,3,0,0,0,0,0,0,16,4,4,0,0,0,4,7,0,1,61,40,40,0,0,0,0,17,0,0,4,1,0,0,0,17,0,0,701,0,0,0,0,6,51,0,0,0,2,0,14,0,0,1,2,10,6,13,2,0,0,1,0,0,0,3,60,313,161,152,184,38,146,7,23,0,8,8,0,1,0,38,0,574,7,0,0,0,7,60,3,0,0,0,3,18,39,67,1,38,0,0,484,241,84,159,224,0,6,3,0,1,5,10,9,0,445,0,1226,8,2636
40,W.Rly Ahmedabad,2,0,2,1,1,0,1,0,0,0,0,2,1,0,0,3,24,22,0,10,8,2,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,38,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,504,32,472,7,3,4,2,8,0,1,1,0,0,0,3,0,525,0,0,0,0,0,4,2,0,2,0,0,2,0,4,0,0,0,0,5,0,4,1,38,0,0,0,0,0,0,0,0,0,12,0,55,3,626
41,W.Rly Vadodara,6,0,1,1,1,0,0,0,0,0,0,2,3,0,0,2,27,24,0,5,7,0,12,3,1,2,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,56,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1354,21,1333,2,0,2,1,25,0,6,6,0,0,0,3,1,1392,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,1,17,16,1486
,Total,970,71,6906,6770,1224,5546,1,8,0,127,9,510,1049,8,35,167,8750,6475,99,5554,358,409,55,2275,1753,470,8,3,14,27,0,47,1058,494,364,9,4,27,324,50,38,112,2094,1035,525,510,0,4,22,824,0,0,209,2,3,0,0,477,14,22,22192,0,0,0,0,286,1740,44,32,5,74,54,126,4,2,64,56,124,143,280,5,17,32,678,18,18,0,73,2117,15322,8916,6406,4377,440,3937,346,1277,1,306,306,0,12,10,984,2,22637,73,0,0,2,71,2420,181,37,44,13,87,1966,273,2493,6,12282,4,1,21114,10271,5132,5711,23961,7,20,33,12,62,200,393,3223,5,14981,17,76321,3015,128775
State: Harayana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ambala,19,1,219,212,52,160,0,0,0,7,8,13,38,1,2,3,370,205,18,154,29,4,0,165,69,95,0,1,0,0,0,0,63,22,16,0,0,0,16,8,1,16,65,7,0,7,0,0,0,58,0,0,0,0,0,0,0,39,0,2,843,1,1,0,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,44,104,595,368,227,289,50,239,5,7,0,3,3,0,1,0,184,13,1097,0,0,0,0,0,95,10,0,0,0,10,85,0,95,0,14,0,0,322,4,200,118,16,0,3,11,0,0,8,54,107,0,129,6,670,378,3188
2,Bhiwani,31,1,152,147,0,147,0,0,0,5,12,25,35,0,0,5,284,219,130,43,46,0,0,65,65,0,0,0,0,0,0,0,131,27,44,0,0,0,44,35,1,24,60,0,0,0,0,0,0,26,17,0,17,0,0,0,0,53,11,12,812,0,0,0,0,0,191,0,0,0,0,0,0,0,0,26,7,62,82,14,0,0,0,0,4,4,0,30,225,449,256,193,304,31,273,12,31,5,5,5,0,1,0,10,8,825,0,0,0,0,0,97,71,8,24,1,38,0,26,97,2,4,0,0,312,6,306,0,16,0,37,0,0,2,21,82,79,0,71,5,631,487,3077
3,Faridabad,80,7,298,271,0,271,0,0,0,27,23,27,85,0,3,12,560,430,355,75,0,0,0,130,122,7,0,1,0,0,0,806,148,34,42,24,10,0,8,36,0,36,387,47,0,47,0,2,3,71,194,0,70,2,0,0,0,95,14,11,2558,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,64,46,73,0,0,0,45,1,1,0,110,339,3187,1916,1271,518,82,436,34,48,8,9,9,0,2,0,447,23,4276,2,0,0,0,2,464,84,0,84,0,0,250,130,466,0,79,0,0,528,82,368,78,11,1,29,2,1,6,9,93,473,0,7,44,1283,1504,10426
4,Fatehabad,23,2,109,106,0,106,0,0,2,1,4,18,15,0,5,4,283,262,170,61,28,1,2,21,20,1,0,0,0,0,0,309,45,16,18,1,0,0,17,5,2,4,58,0,0,0,0,1,0,7,35,0,15,2,0,0,0,23,1,1,902,1,1,0,1,0,74,0,0,0,0,0,0,0,0,7,5,11,39,12,0,0,0,0,1,1,0,35,110,344,216,128,192,24,168,5,12,5,5,5,0,0,0,21,13,597,1,0,0,0,1,79,37,1,20,4,12,42,0,80,0,6,0,0,159,3,135,21,0,0,17,1,0,0,9,116,60,0,28,1,397,111,2198
5,GRP,43,1,11,9,0,9,0,0,0,2,4,37,5,0,0,5,91,86,20,3,32,31,0,5,4,1,0,0,0,0,0,11,12,2,5,0,1,0,4,0,0,5,49,3,3,0,1,0,0,2,2,0,41,0,0,0,0,4,2,3,278,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,86,103,916,136,780,1,0,1,2,15,10,3,3,0,1,0,1,23,972,0,0,0,0,0,9,0,0,0,0,0,9,0,9,0,0,0,0,42,29,10,3,15,0,0,0,0,1,1,0,0,0,17,0,76,201,1639
6,Gurugram,107,3,481,459,285,174,0,3,0,19,29,29,72,1,5,19,346,213,80,47,70,9,7,133,104,5,1,0,0,23,0,726,315,112,103,15,5,0,83,28,0,72,400,22,15,7,0,2,1,99,165,0,111,2,0,0,0,136,16,6,2693,0,0,0,0,0,201,0,0,0,0,0,0,0,0,3,0,23,5,24,0,0,0,146,1,1,0,217,419,6461,4242,2219,627,179,448,65,99,16,41,41,0,1,0,121,26,7457,3,0,0,0,3,662,209,5,114,12,78,452,1,665,2,48,0,0,973,218,594,161,47,0,95,0,0,13,21,105,242,0,389,35,1970,484,13688
7,Hissar,32,2,151,143,143,0,0,1,6,1,8,15,34,0,3,7,414,325,175,105,45,0,0,89,65,22,0,0,0,2,0,0,77,11,31,0,0,0,31,20,1,14,43,1,0,1,0,1,2,5,22,0,12,1,2,0,0,64,0,3,856,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,9,38,0,0,0,0,18,2,2,0,35,102,851,505,346,400,88,312,13,21,18,2,2,0,2,0,26,8,1341,0,0,0,0,0,329,114,9,41,14,50,211,4,329,0,11,0,0,298,22,179,97,11,0,37,7,0,0,21,173,121,0,140,2,821,809,4258
8,Jhajjar,66,4,251,245,61,184,0,0,0,6,16,22,70,1,0,2,245,204,142,28,30,0,4,41,34,6,0,0,0,1,0,285,101,49,13,0,0,0,13,24,2,13,108,45,0,45,0,2,0,45,0,0,16,0,0,0,0,30,5,8,1214,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,37,27,4,0,0,0,7,2,2,0,20,97,611,374,237,266,13,253,16,0,11,12,12,0,3,0,17,23,959,1,0,0,0,1,186,35,0,35,0,0,113,38,187,0,0,0,0,321,5,316,0,0,0,33,3,0,27,15,135,199,0,277,32,1042,101,3600
9,Jind,40,0,401,394,0,394,0,0,0,7,7,37,41,0,4,6,286,256,250,0,0,0,6,30,29,0,1,0,0,0,0,0,38,12,0,0,0,0,0,18,0,8,322,157,59,98,0,2,0,19,98,0,46,0,0,0,0,27,6,4,1219,2,2,0,2,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,4,4,0,45,221,858,586,272,432,41,391,13,36,2,5,5,0,2,0,131,7,1486,0,0,0,0,0,169,0,0,0,0,0,169,0,169,1,12,0,0,220,9,198,13,10,0,28,7,0,0,29,100,154,0,73,0,634,533,4264
10,Kaithal,30,1,162,156,0,156,0,0,0,6,12,12,25,0,8,4,205,139,0,99,33,1,6,66,61,4,1,0,0,0,0,203,49,14,20,0,0,0,20,10,0,5,127,0,0,0,0,1,0,54,27,0,45,0,0,0,0,31,5,1,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,11,14,649,402,247,291,34,257,5,22,0,10,10,0,1,0,45,9,1032,2,0,0,0,2,101,44,0,44,0,0,44,13,103,1,1,0,0,208,3,177,28,12,0,1,6,0,1,12,51,81,0,10,1,385,177,2586
11,Karnal,65,2,347,337,0,337,0,0,0,10,13,39,53,0,8,3,323,243,0,162,68,2,11,80,78,1,0,1,0,0,0,468,84,50,8,0,0,0,8,4,0,22,312,0,0,0,0,0,0,53,78,0,181,0,0,0,0,71,14,4,1806,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,3,3,0,36,106,1359,834,525,546,74,472,14,59,2,7,7,0,1,0,15,13,2016,0,0,0,0,0,346,133,38,72,0,23,166,47,346,0,22,0,0,464,25,332,107,3,2,15,6,0,2,14,107,120,0,127,1,883,270,5427
12,Kurukshetra,26,0,243,240,58,182,0,0,0,3,4,13,25,1,3,2,214,166,35,93,35,2,1,48,28,19,1,0,0,0,0,0,46,9,15,0,0,0,15,4,0,18,52,0,0,0,0,0,0,40,0,0,12,0,0,0,0,34,3,0,666,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,742,481,261,281,49,232,7,7,3,4,4,0,2,0,71,9,1126,1,0,0,0,1,148,121,0,62,12,47,0,27,149,0,6,0,0,369,12,260,97,0,0,0,3,0,2,15,53,143,0,76,1,668,459,3080
13,Mahendergarh,42,0,219,214,0,214,0,0,0,5,9,14,23,0,4,2,144,86,0,47,39,0,0,58,58,0,0,0,0,0,0,196,48,4,22,0,0,0,22,15,0,7,26,0,0,0,0,0,0,11,0,0,15,0,0,0,0,24,1,0,752,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,7,133,466,276,190,197,12,185,3,7,0,7,7,0,0,0,46,1,727,0,0,0,0,0,116,57,0,0,57,0,27,32,116,0,1,0,0,253,1,252,0,2,0,15,2,0,1,20,43,55,0,107,3,502,146,2376
14,Mewat,33,3,219,215,0,215,0,0,0,4,15,8,24,0,1,5,106,84,6,24,46,3,5,22,22,0,0,0,0,0,0,0,63,3,20,0,0,0,20,38,1,1,53,0,0,0,0,2,1,35,0,0,15,0,0,0,0,54,2,3,589,0,0,0,0,0,268,0,0,0,0,0,0,0,0,0,0,132,62,44,0,0,0,30,8,8,0,2,278,483,324,159,70,13,57,11,18,1,30,30,0,2,0,9,39,663,1,0,0,0,1,91,4,0,3,1,0,41,46,92,0,8,0,0,336,6,327,3,1,0,5,0,0,0,3,13,126,0,6,1,499,370,2491
15,Palwal,41,3,557,545,233,312,0,0,0,12,11,18,50,0,3,3,173,122,13,41,57,2,9,51,48,0,2,0,0,1,0,0,53,13,17,6,5,0,6,15,0,8,62,1,0,1,0,4,0,44,0,0,13,0,0,0,0,26,2,3,1005,0,0,0,0,0,248,25,0,15,0,26,0,35,0,30,0,32,24,0,0,0,0,61,0,0,0,57,305,1075,766,309,172,45,127,10,0,15,1,1,0,1,0,63,33,1370,0,0,0,0,0,75,56,0,22,0,34,0,19,75,0,17,0,0,312,20,130,162,4,0,14,3,0,7,3,60,137,0,0,9,566,450,3771
16,Panchkula,19,2,108,101,24,77,0,0,0,7,3,10,28,0,5,3,60,50,2,24,21,1,2,10,7,2,1,0,0,0,0,0,22,8,4,0,0,0,4,3,0,7,28,0,0,0,0,0,1,18,0,0,9,0,0,0,0,19,2,0,309,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,2,2,0,43,100,336,179,157,135,23,112,3,8,0,1,1,0,1,0,7,7,498,0,0,0,0,0,149,122,0,6,4,112,0,27,149,1,43,0,0,152,11,100,41,4,0,0,1,0,2,76,19,50,0,101,4,453,425,1934
17,Panipat,60,3,297,286,286,0,0,0,0,11,13,26,38,0,8,9,711,688,238,93,34,315,8,23,20,2,1,0,0,0,0,0,149,56,46,0,0,0,46,17,1,29,860,0,0,0,0,1,0,81,94,0,684,1,0,0,0,72,11,6,2264,1,1,0,1,0,141,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,19,3,3,0,143,287,1503,1025,478,596,78,518,15,6,17,4,4,0,4,0,39,0,2184,3,0,0,0,3,245,0,0,0,0,0,196,49,248,0,0,0,0,332,31,301,0,3,0,5,0,0,1,17,82,254,0,26,5,725,25,5734
18,Rewari,34,4,272,262,0,262,0,0,0,10,11,19,40,0,0,5,185,102,32,46,24,0,0,83,74,0,0,0,0,9,0,194,47,9,26,0,0,0,26,4,2,6,49,0,0,0,0,0,1,5,39,0,4,0,0,0,0,36,4,0,900,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,11,111,784,518,266,164,10,154,14,3,3,4,4,0,2,0,85,5,1064,0,0,0,0,0,102,0,0,0,0,0,76,26,102,0,0,0,0,344,27,257,60,0,0,22,1,0,2,13,36,97,0,71,0,586,184,2947
19,Rohtak,62,1,225,218,0,218,0,0,0,7,15,27,56,0,5,6,231,187,3,111,60,0,13,44,39,4,0,1,0,0,0,0,225,22,116,4,2,26,84,19,0,68,489,1,0,1,0,1,1,47,22,0,417,1,1,0,0,90,15,4,1453,3,2,1,3,0,193,0,0,0,1,0,2,3,0,18,2,26,42,8,3,0,0,88,3,3,0,36,232,1468,866,602,464,82,382,15,86,9,14,14,0,3,0,43,7,2109,0,0,0,0,0,344,128,21,64,21,22,216,0,344,0,8,0,0,330,44,274,12,3,0,5,2,0,1,15,70,274,0,252,11,971,398,5510
