1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145
State: Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Tirupathi Urban,38,3,253,252,42,210,0,0,0,1,7,7,29,0,5,2,421,414,120,278,14,2,0,7,0,7,0,0,0,0,0,0,83,47,15,0,0,0,15,4,3,14,31,13,2,11,0,0,0,4,0,0,14,0,18,0,0,17,4,0,918,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,17,86,587,245,342,228,44,184,25,9,0,5,5,0,0,0,8,0,862,6,0,0,0,6,276,0,0,0,0,0,246,30,282,0,0,0,2,1874,1552,288,34,0,8,9,0,0,0,12,0,86,0,30,55,2076,203,4427
15,Vijayawada City,34,0,361,346,42,304,0,0,0,15,10,23,43,0,21,4,639,599,1,583,1,14,0,40,15,18,1,0,0,6,0,176,275,96,77,1,0,0,76,5,10,87,35,16,0,16,0,0,1,10,5,0,3,8,12,0,0,79,2,1,1723,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,0,2,20,1729,724,1005,307,65,242,29,50,25,3,3,0,0,2,54,22,2221,0,0,0,0,0,582,152,0,0,0,152,366,64,582,0,0,0,171,1303,164,860,279,2,1,108,0,0,15,18,130,460,3,34,135,2380,160,7086
16,Vijayawada Railway,8,2,0,0,0,0,0,0,0,0,0,2,3,0,0,5,28,27,2,10,7,0,8,1,1,0,0,0,0,0,0,0,7,2,3,0,3,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1125,2,1123,1,0,1,2,14,0,2,2,0,0,0,0,0,1144,5,0,0,0,5,1,0,0,0,0,0,1,0,6,0,0,0,4,4,0,1,3,0,0,0,0,1,0,1,0,1,0,0,2,13,0,1220
17,Visakha Rural,39,7,332,332,13,319,0,0,0,0,1,6,52,0,1,0,401,366,25,332,9,0,0,35,3,19,0,0,13,0,0,24,148,142,6,0,0,0,6,0,0,0,18,16,0,16,0,0,0,2,0,0,0,0,0,0,0,35,5,0,1069,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,15,0,0,0,2,23,130,47,83,115,29,86,2,4,0,0,0,0,0,0,4,0,255,0,0,0,0,0,81,1,0,0,1,0,76,4,81,0,0,0,0,767,280,129,358,5,0,0,0,3,3,14,109,116,0,7,24,1048,489,2965
18,Visakhapatnam,40,14,341,333,28,305,3,0,1,4,7,16,69,0,16,0,1061,639,72,407,46,111,3,422,25,53,0,0,7,337,0,24,314,198,24,0,0,0,24,5,7,80,153,149,61,88,0,0,1,1,0,0,2,3,1,0,0,90,0,0,2149,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,4,14,1345,586,759,376,91,285,4,45,0,4,4,0,1,1,68,0,1844,2,0,0,0,2,712,152,23,3,20,106,519,41,714,0,6,0,0,863,265,177,421,1,1,2,0,2,0,9,272,449,0,19,76,1700,467,6888
19,Vizianagaram,28,4,444,439,31,408,0,0,0,5,3,8,16,0,0,1,1408,1188,44,468,16,660,0,220,5,26,1,0,3,185,0,11,102,55,22,0,1,2,19,14,0,11,15,14,0,14,0,0,0,0,0,0,1,1,0,0,0,36,2,0,2079,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,4,0,0,0,17,31,191,87,104,112,15,97,3,5,0,1,1,0,0,0,15,0,327,1,0,0,0,1,108,15,1,2,6,6,89,4,109,0,0,0,200,3936,3489,112,335,0,0,414,1,0,3,5,113,221,0,2,53,4948,1916,9410
20,West Godavari,54,13,674,656,70,586,0,2,0,16,7,47,86,0,21,2,1773,1664,155,1375,106,28,0,109,0,76,1,0,0,32,0,271,480,132,140,0,0,0,140,100,8,100,80,24,0,24,0,0,2,24,1,0,29,4,0,0,0,60,33,2,3607,0,0,0,0,25,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,19,19,0,18,68,870,352,518,428,66,362,52,20,0,5,5,0,0,0,47,0,1422,1,0,0,0,1,431,0,0,0,0,0,417,14,432,0,32,0,0,1327,122,538,667,0,3,11,1,0,0,36,577,777,1,45,108,2918,229,8676
,Total,1054,202,7950,7732,758,6974,3,4,1,210,152,707,1840,0,376,35,21775,20258,2603,14393,892,2356,14,1517,129,577,9,1,64,736,1,1379,5129,2683,1120,2,12,65,1041,483,93,750,1018,508,86,422,5,3,14,248,138,0,102,39,36,0,0,988,175,9,42864,0,0,0,0,218,510,8,0,2,13,4,0,0,0,0,3,90,42,57,0,5,10,276,56,56,0,762,1546,13303,4769,8534,4386,931,3455,477,340,30,58,58,0,4,11,780,25,19414,57,0,0,0,57,5462,785,98,63,43,581,4377,300,5519,20,270,0,456,38416,25420,9107,3889,93,15,643,25,15,204,426,3278,7156,6,1398,1998,54419,8574,132336
State: Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Anjaw,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,3,2,1,0,0,0,3,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21
