SL,District,YEAR,Murder,Attempt to commit Murder,Culpable Homicide not amounting to Murder,Attempt to commit Culpable Homicide,Rape,Attempt to commit Rape,Kidnapping & Abduction_Total,Dacoity,Making Preparation and Assembly for committing Dacoity,Robbery,Criminal Trespass/Burglary,Theft,Unlawful Assembly,Riots,Criminal Breach of Trust,Cheating,Forgery,Counterfeiting,Arson,Grievous Hurt,Dowry Deaths,Assault on Women with intent to outrage her Modesty,Insult to the Modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Causing Death by Negligence,Offences against State,Offences promoting enmity between different groups,Extortion,Disclosure of Identity of Victims,Incidence of Rash Driving,HumanTrafficking,Unnatural Offence,Other IPC crimes,Total Cognizable IPC crimes
State: Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Sultanpur,2016,43,48,18,12,31,57,154,7,0,59,81,443,88,139,16,103,0,0,57,176,21,80,0,13,0,198,0,0,31,0,216,0,5,769,2865
75,Unnao,2016,85,69,22,27,82,3,279,4,1,63,96,363,0,140,55,181,0,0,14,90,44,145,0,181,0,359,0,6,21,0,300,0,4,738,3372
76,Varanasi,2016,59,76,15,10,105,39,264,2,2,51,143,931,62,78,132,418,0,7,36,201,32,251,2,325,0,231,0,1,73,0,236,2,31,2262,6077
77,Total District(s),,4889,5109,1272,1849,4816,1958,15898,284,73,4502,7503,56550,605,8018,3912,10553,1141,159,1325,12624,2473,11335,35,11156,0,17916,9,119,1863,1,19165,43,999,74017,282171
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State: Uttarakhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Almora,2016,1,2,3,0,6,0,1,0,0,1,11,9,0,3,1,8,0,3,3,2,0,7,0,3,0,7,0,0,0,0,6,0,0,50,127
2,Bageshwar,2016,4,2,0,0,10,0,27,1,0,1,11,12,0,6,2,2,0,0,1,1,3,9,0,3,0,4,0,0,0,0,7,0,0,31,137
3,Chamoli,2016,0,2,0,0,2,0,32,0,0,0,3,7,0,0,3,5,0,0,0,0,1,11,0,1,0,5,0,0,0,0,9,0,0,32,113
4,Champawat,2016,1,1,2,0,4,0,18,0,0,1,2,8,0,3,0,2,0,1,0,3,0,2,0,0,0,12,0,0,0,0,10,1,0,28,99
5,Dehradun,2016,36,19,8,0,63,5,76,2,1,35,90,447,0,75,35,242,180,14,0,36,8,56,0,140,0,136,0,2,12,0,167,2,4,393,2284
