SL,District,YEAR,Murder,Attempt to commit Murder,Culpable Homicide not amounting to Murder,Attempt to commit Culpable Homicide,Rape,Attempt to commit Rape,Kidnapping & Abduction_Total,Dacoity,Making Preparation and Assembly for committing Dacoity,Robbery,Criminal Trespass/Burglary,Theft,Unlawful Assembly,Riots,Criminal Breach of Trust,Cheating,Forgery,Counterfeiting,Arson,Grievous Hurt,Dowry Deaths,Assault on Women with intent to outrage her Modesty,Insult to the Modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Causing Death by Negligence,Offences against State,Offences promoting enmity between different groups,Extortion,Disclosure of Identity of Victims,Incidence of Rash Driving,HumanTrafficking,Unnatural Offence,Other IPC crimes,Total Cognizable IPC crimes
State: Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Anantapur,2016,127,195,6,0,33,15,71,1,0,12,246,509,0,104,20,438,0,8,49,57,23,362,13,130,0,588,0,0,29,0,862,0,0,3200,7098
2,Chittoor,2016,72,73,3,0,21,12,19,7,0,2,163,515,18,46,12,130,0,3,10,13,12,135,3,196,0,590,0,0,20,0,738,0,0,1429,4242
3,Cuddapah,2016,78,257,6,0,38,9,24,7,0,11,240,514,21,73,78,261,12,1,36,16,12,266,104,332,0,480,0,0,38,0,2520,8,0,1987,7429
4,East Godavari,2016,64,78,9,0,120,22,61,4,0,14,402,960,82,77,75,260,15,0,38,28,12,413,146,544,0,625,0,0,55,0,1244,0,0,2643,7991
5,Guntakal Railway,2016,8,0,0,0,0,0,1,0,0,7,0,584,0,3,0,0,0,6,0,11,2,8,0,1,0,1,0,0,0,0,3,0,0,30,665
6,Guntur,2016,109,157,4,0,62,17,40,1,0,13,205,582,3,51,15,312,5,2,44,67,15,283,321,434,0,604,0,0,23,0,860,0,1,2251,6481
7,Guntur Urban,2016,40,50,3,0,43,2,128,3,0,14,177,571,51,12,21,351,20,3,21,13,7,148,137,374,0,291,0,5,46,0,636,1,0,1126,4294
8,Krishna,2016,48,63,5,0,81,31,42,0,0,11,225,474,0,11,26,209,0,2,26,32,21,419,250,606,0,454,0,0,16,0,1000,1,1,2775,6829
9,Kurnool,2016,119,298,7,0,33,6,67,7,0,14,250,497,0,52,92,433,0,8,38,17,18,475,243,277,0,620,0,1,45,0,1331,0,0,3268,8216
10,Nellore,2016,74,148,6,0,52,20,56,4,2,27,365,840,23,65,121,246,17,3,71,52,4,320,154,562,0,462,0,0,24,0,1028,0,0,2763,7509
11,Prakasham,2016,77,82,8,0,67,14,35,3,0,18,259,568,47,61,59,203,62,0,40,24,13,290,36,503,0,527,0,0,17,0,869,4,2,2479,6367
12,Rajahmundry,2016,19,18,2,0,26,1,20,1,0,12,140,402,0,8,37,90,6,2,16,13,4,146,47,191,0,160,0,0,12,0,457,0,0,686,2516
13,Srikakulam,2016,31,26,5,0,41,1,17,0,0,7,67,137,2,6,18,123,3,2,13,47,2,130,9,243,0,283,0,0,16,0,814,6,0,1378,3427
14,Tirupathi Urban,2016,38,36,3,0,16,4,21,6,0,16,194,806,0,26,12,184,0,0,0,8,6,71,17,74,0,245,0,0,0,0,373,0,0,795,2951
15,Vijayawada City,2016,33,50,1,0,72,6,45,2,0,59,321,2006,26,7,64,382,78,2,27,21,10,207,134,412,0,371,0,1,49,0,1280,7,2,1387,7062
16,Vijayawada Railway,2016,7,1,0,0,2,0,0,3,0,9,1,1041,0,6,2,6,0,12,0,1,1,7,5,0,0,0,0,0,11,0,1,0,0,36,1152
17,Visakha Rural,2016,52,59,2,0,34,1,21,3,0,2,132,178,0,28,10,111,0,0,24,43,4,130,5,130,0,347,1,0,14,0,490,0,0,929,2750
18,Visakhapatnam,2016,33,77,5,0,81,2,178,5,0,40,380,1321,0,6,50,611,6,3,15,57,6,306,12,403,0,364,0,0,4,0,1094,0,0,1704,6763
19,Vizianagaram,2016,31,16,3,0,33,2,8,1,0,2,172,235,4,5,12,111,2,1,13,32,4,201,69,299,0,302,0,0,0,0,949,0,0,1849,4356
20,West Godavari,2016,63,111,5,0,139,25,63,5,0,25,466,1116,26,10,40,416,2,4,38,52,17,512,126,750,0,664,0,7,91,0,1246,5,1,2651,8676
21,Total District(s),,1123,1795,83,0,994,190,917,63,2,315,4405,13856,303,657,764,4877,228,62,519,604,193,4829,1831,6461,0,7978,1,14,510,0,17795,32,7,35366,106774
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State: Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Anjaw,2016,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,6,20
2,Changlang,2016,5,3,0,0,5,0,13,1,0,2,12,32,0,2,0,0,0,2,4,25,0,5,0,4,0,5,2,0,18,0,11,0,0,7,158
3,Crime Branch,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Dibang Valley,2016,0,0,0,0,1,0,0,0,0,0,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
5,Kameng East,2016,5,4,1,0,5,0,5,0,0,1,11,12,0,0,2,8,0,0,0,23,0,8,0,0,0,3,0,0,2,0,3,0,0,19,112
6,Kameng West,2016,1,0,1,0,0,0,2,0,0,1,13,26,0,0,1,1,5,0,2,8,0,7,0,0,0,18,0,0,2,0,18,0,0,16,122
7,Kurung Kumey,2016,0,3,0,0,1,0,2,0,0,0,4,5,0,0,2,0,0,0,0,2,0,1,0,3,0,0,0,0,3,0,2,0,0,25,53
8,Lohit,2016,0,1,0,0,3,0,10,0,0,1,9,16,0,0,0,4,1,0,0,8,1,5,0,2,0,12,0,0,1,0,10,0,0,21,105
9,Longding,2016,2,3,1,0,2,0,3,0,0,1,3,7,0,0,1,3,0,0,0,11,0,0,0,0,0,1,0,0,7,0,0,0,0,6,51
10,Lower Dibang Valley,2016,1,0,0,0,1,0,1,0,0,4,8,11,0,0,1,2,0,0,0,12,0,3,0,0,0,10,0,0,3,0,4,0,0,9,70
11,Papum Pare City,2016,8,5,1,0,25,4,36,1,0,22,64,207,0,5,14,43,7,1,6,45,0,45,8,27,0,8,0,0,29,0,43,1,1,115,771
12,Papum Pare Rural,2016,2,1,0,0,1,0,5,3,0,1,9,22,0,0,4,2,2,0,0,8,0,0,0,0,0,2,0,0,3,0,2,0,0,14,81
13,Siang East,2016,2,3,1,0,14,3,8,0,0,14,14,59,0,1,0,8,2,0,9,11,0,8,2,7,0,9,0,1,4,0,11,0,0,54,245
14,Siang Upper,2016,1,1,0,0,5,0,1,0,0,0,7,7,0,0,0,1,0,0,0,3,0,1,0,0,0,4,0,0,2,0,3,0,0,14,50
15,Siang West,2016,0,3,0,0,10,3,3,1,0,3,15,13,0,0,4,16,1,0,3,26,0,9,0,0,0,7,0,0,3,0,10,0,0,22,152
16,Subansiri Lower,2016,1,2,1,0,2,0,4,3,0,3,12,21,0,0,0,10,1,0,1,20,0,2,0,0,0,1,0,0,3,0,1,0,0,66,154
17,Subansiri Upper,2016,3,7,0,0,6,4,2,0,0,0,10,10,0,0,0,4,1,0,1,4,0,6,0,3,0,1,0,0,1,0,5,0,0,22,90
18,Tawang,2016,1,2,0,0,0,0,0,0,0,0,5,9,0,0,1,0,0,0,1,2,0,2,0,0,0,6,0,0,1,0,3,0,0,5,38
19,Tirap,2016,2,3,0,0,0,0,3,1,0,1,4,10,0,0,2,3,0,0,1,2,0,1,0,1,0,2,0,0,14,0,2,0,0,12,64
20,Namsai,2016,12,5,0,0,9,1,12,0,0,9,14,28,0,0,0,1,3,0,1,14,0,5,0,2,0,14,0,0,2,0,2,0,1,12,147
21,Siang,2016,0,0,0,0,2,0,0,0,0,0,4,11,1,0,0,0,1,0,1,5,0,1,0,1,0,1,0,0,1,0,2,0,0,11,42
22,Total District(s),,46,46,6,0,92,15,112,10,0,63,222,510,1,8,33,107,24,3,31,235,1,109,10,50,0,105,2,1,100,0,132,1,2,457,2534
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State: Assam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B. I. E. O.,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20
2,Barpeta,2016,55,149,4,0,104,101,363,6,2,22,317,476,15,246,81,277,70,4,55,1498,24,334,0,813,0,110,2,0,22,0,308,1,4,1432,6895
3,Baksa,2016,28,55,0,0,25,4,166,3,0,26,41,92,0,0,8,44,0,0,10,39,1,87,2,67,0,53,0,0,52,0,62,1,0,468,1334
4,Bongaigaon,2016,21,12,0,0,41,0,151,1,0,11,102,280,0,5,2,95,25,0,13,637,2,46,0,234,0,66,0,0,5,0,112,2,0,418,2281
5,C. I. D.,2016,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,25
6,Cachar,2016,50,3,0,1,75,13,319,6,1,18,346,686,101,112,98,113,55,2,36,353,12,71,5,515,0,100,0,0,53,0,412,1,0,2453,6010
7,Chirang,2016,16,10,0,0,19,3,76,0,0,3,30,157,0,10,5,59,13,5,3,57,0,23,0,65,0,30,0,0,28,0,28,0,0,246,886
8,Darrang,2016,28,0,0,0,95,28,186,7,0,13,190,258,0,47,44,234,30,1,29,492,6,524,0,493,0,68,0,0,3,0,192,2,0,972,3942
9,Dhemaji,2016,21,47,1,0,47,8,126,2,0,13,61,159,34,7,11,76,5,1,17,192,1,91,1,111,0,57,0,0,22,0,52,2,1,223,1389
10,Dhubri,2016,32,86,0,0,145,34,362,9,0,50,146,578,302,481,217,196,53,3,62,814,9,471,7,863,0,109,0,0,182,0,236,7,1,649,6104
11,Dibrugarh,2016,68,41,0,0,59,5,205,1,0,29,154,521,10,5,93,65,23,1,22,49,3,41,0,247,0,95,0,0,14,0,145,2,0,1389,3287
12,G. R. P.,2016,12,0,0,0,1,0,12,1,0,5,0,375,0,3,8,6,0,0,0,10,0,3,0,0,0,2,0,0,5,0,1,10,0,41,495
13,Goalpara,2016,40,28,4,0,48,8,112,2,0,4,214,159,0,0,0,44,11,0,26,516,6,15,0,279,0,110,6,0,1,0,145,2,1,919,2700
14,Golaghat,2016,64,38,1,0,47,6,262,13,0,37,107,375,2,0,15,94,14,2,15,248,6,54,0,315,0,111,0,0,34,0,133,0,0,1072,3065
15,Guwahati City,2016,75,48,0,0,72,9,677,9,0,288,950,3030,0,30,327,845,0,23,25,94,9,151,13,507,0,258,0,0,149,0,784,6,2,4637,13018
16,Hailakandi,2016,16,20,2,0,88,5,116,1,0,6,72,158,117,109,59,74,15,1,23,266,0,26,3,264,0,28,0,0,51,0,136,0,0,713,2369
17,Hamren,2016,9,1,0,0,8,0,24,5,0,3,14,29,0,0,12,11,12,0,0,72,0,5,0,2,0,5,0,0,20,0,4,1,0,75,312
18,Jorhat,2016,35,14,0,0,32,12,174,1,0,37,135,573,0,8,84,255,7,2,29,288,1,202,0,399,0,70,0,0,78,0,121,1,0,1700,4258
19,Kamrup,2016,60,32,0,0,88,0,215,7,0,55,237,450,0,61,78,175,0,3,17,135,7,96,0,292,0,251,0,0,56,0,299,3,0,1972,4589
20,Karbi Anglong,2016,23,43,1,0,18,1,99,1,0,10,49,193,5,10,21,49,5,0,2,110,0,20,0,61,0,64,4,0,88,0,37,1,0,131,1046
21,Karimganj,2016,30,77,0,0,47,0,124,3,0,8,199,297,32,56,21,101,6,0,33,554,10,77,1,275,0,30,1,1,27,0,109,1,0,703,2823
22,Kokrajhar,2016,36,61,2,0,41,0,143,9,0,7,59,428,0,17,20,67,0,5,20,150,2,116,0,167,0,96,0,0,55,0,0,0,0,180,1681
23,Lakhimpur,2016,32,52,15,10,68,0,263,4,0,40,158,302,0,18,67,153,0,0,19,61,4,23,0,343,0,49,2,0,33,0,189,3,0,1700,3608
24,Morigaon,2016,23,115,0,0,128,30,189,9,0,32,123,206,0,118,13,188,0,0,25,913,3,205,0,414,0,90,0,0,70,0,110,2,2,181,3189
25,Dima Hasao,2016,7,8,0,0,3,0,27,3,0,3,7,59,0,1,0,5,0,0,4,6,0,6,0,3,0,7,0,0,17,0,0,0,0,82,248
26,Nagaon,2016,72,59,0,0,97,27,393,8,0,60,249,694,59,81,111,252,33,1,36,301,16,189,0,832,0,196,0,0,39,0,301,6,2,3207,7321
27,Nalbari,2016,10,28,0,0,37,0,98,4,0,26,103,200,52,9,94,43,65,1,19,207,1,81,0,180,0,53,0,0,25,0,206,1,0,535,2078
28,R. P. O.,2016,1,0,0,0,6,0,8,1,0,0,0,8,0,5,0,4,0,0,1,1,0,2,0,7,0,0,0,0,3,0,0,0,0,12,59
29,Sibsagar,2016,41,50,0,5,25,10,242,2,0,20,114,363,26,4,22,105,13,0,15,279,3,139,0,233,0,49,0,0,46,0,70,3,0,667,2546
30,Sonitpur,2016,35,6,0,0,49,0,217,1,0,23,199,469,0,27,27,221,0,3,10,189,7,121,0,312,0,102,0,0,39,0,69,16,0,1646,3788
31,Tinsukia,2016,66,41,0,0,68,26,187,12,1,38,164,626,60,11,138,44,15,0,15,348,4,63,0,242,0,91,4,0,36,0,110,3,0,826,3239
32,Udalguri,2016,33,29,0,0,23,24,83,0,0,15,65,158,0,8,23,10,1,6,11,228,2,29,0,58,0,82,0,0,28,0,66,11,0,169,1162
33,Sadia,2016,1,1,0,0,10,0,17,1,0,4,8,16,0,9,1,9,0,0,4,27,0,2,0,9,0,4,0,0,2,0,5,0,0,73,203
34,Majuli,2016,1,3,0,0,9,3,15,0,0,4,6,13,0,0,0,12,2,0,1,62,0,3,0,1,0,2,0,0,0,0,2,0,0,72,211
35,Biswanath,2016,44,14,0,0,42,0,135,11,0,7,62,162,0,14,13,32,0,0,8,111,6,14,0,101,0,101,0,0,11,0,0,1,0,453,1342
36,Hojai,2016,29,30,4,0,43,2,157,7,0,18,125,192,98,44,13,169,33,0,30,324,6,28,1,293,0,55,2,0,31,0,82,0,1,674,2491
37,South Salmara,2016,14,49,0,1,63,11,92,6,0,1,51,113,0,110,26,20,9,2,23,150,6,15,1,301,0,8,0,0,16,0,35,0,0,464,1587
38,Charaideo,2016,21,7,0,0,8,0,91,0,0,4,29,98,0,5,5,14,0,0,6,63,0,5,0,23,0,23,0,0,4,0,9,1,0,233,649
39,Total District(s),,1149,1257,34,17,1779,370,6126,156,4,940,4886,12955,913,1671,1767,4171,515,66,664,9844,157,3378,34,9321,0,2625,21,1,1346,0,4570,90,14,31409,102250
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State: Bihar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Araria,2016,60,321,86,73,51,14,160,3,1,28,65,384,0,315,26,20,35,0,15,150,11,1,0,76,0,55,0,0,14,0,80,1,0,1659,3704
2,Arwal,2016,10,107,0,0,4,0,34,2,0,7,27,83,7,58,5,45,11,0,1,0,9,4,0,23,0,27,0,0,3,0,24,0,0,445,936
3,Aurangabad,2016,48,147,5,29,10,5,52,2,5,25,60,240,0,197,64,121,23,0,5,49,17,17,0,44,0,155,0,0,19,0,83,0,0,1146,2568
4,Bagaha,2016,31,41,0,0,8,0,87,1,1,6,29,88,0,54,33,51,19,0,2,17,9,0,0,23,0,28,0,0,0,0,24,3,1,967,1523
5,Banka,2016,49,156,1,155,10,3,86,7,0,19,28,166,0,164,18,47,19,0,36,187,20,0,0,39,0,105,0,0,11,0,72,0,0,2007,3405
6,Begusarai,2016,64,108,2,13,24,17,139,3,5,51,91,421,59,313,40,54,37,1,5,23,18,12,0,65,0,184,0,0,51,0,153,0,1,2319,4273
7,Bettiah,2016,52,69,0,0,27,0,190,6,0,16,110,439,0,447,15,50,20,1,16,455,28,2,0,105,0,76,0,0,36,0,145,0,0,2215,4520
8,Bhabhua,2016,40,52,0,0,13,11,108,11,0,18,74,270,0,104,89,92,28,0,0,8,22,0,0,46,0,74,0,0,10,0,93,0,1,1646,2810
9,Bhagalpur,2016,89,15,0,0,47,7,212,9,7,35,182,675,0,308,31,104,156,3,7,7,18,15,0,50,0,76,0,0,28,0,127,0,0,1705,3913
10,Bhojpur,2016,84,324,5,425,21,16,120,7,12,28,125,492,4,242,45,472,140,0,43,707,36,9,30,240,0,141,0,0,135,0,135,0,0,1568,5606
11,Buxar,2016,48,56,0,2,16,0,67,3,0,12,129,408,0,355,19,98,0,1,27,391,18,7,0,51,0,78,0,0,17,0,150,0,0,879,2832
12,Darbhanga,2016,38,192,4,0,31,22,331,4,0,27,121,521,0,615,120,140,11,0,0,309,23,0,18,207,0,125,0,0,25,0,123,0,3,2147,5157
13,Gaya,2016,133,74,11,7,51,0,358,37,6,72,226,907,0,672,87,272,54,2,4,432,40,2,0,201,0,305,0,0,95,0,432,3,2,3072,7557
14,Gopalganj,2016,76,350,9,84,6,11,139,11,5,30,58,305,0,129,21,82,78,1,22,122,36,0,0,79,0,102,0,0,35,0,44,0,2,1423,3260
15,Jamalpur Railway,2016,5,1,0,0,0,0,3,1,0,6,0,269,0,4,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,79,374
16,Jamui,2016,54,202,0,0,10,0,53,6,0,17,50,98,0,158,6,44,0,0,4,5,14,17,0,50,0,115,0,0,15,0,178,0,0,984,2080
17,Jehanabad,2016,35,218,0,0,19,1,107,6,1,21,40,189,0,141,13,98,22,0,6,24,17,2,0,25,0,46,0,0,12,0,76,0,0,683,1802
18,Katihar,2016,73,108,0,0,57,88,166,5,1,54,76,345,0,277,49,92,89,0,77,499,10,1,116,136,0,98,0,0,50,0,124,0,0,1078,3669
19,Katihar Railway,2016,3,12,0,0,1,0,3,1,1,4,8,168,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,1,0,3,4,0,105,324
20,Khagaria,2016,45,40,3,0,17,15,131,5,0,15,38,152,0,77,29,67,32,2,7,10,5,2,0,39,0,86,0,0,21,0,55,0,4,1549,2446
21,Kishanganj,2016,40,31,1,0,40,3,115,5,0,6,42,288,111,78,4,47,28,5,15,13,6,0,0,46,0,47,0,0,10,0,45,1,1,725,1753
22,Lakhisarai,2016,25,170,0,14,10,14,75,3,0,18,48,78,49,87,78,89,88,1,12,78,8,0,0,51,0,58,8,0,9,0,37,8,0,466,1582
23,Madhepura,2016,41,2,0,0,14,4,121,4,0,25,59,231,0,263,7,60,15,0,2,0,9,0,0,32,0,60,0,0,9,0,38,0,0,1775,2771
24,Madhubani,2016,61,55,0,0,59,0,221,11,0,43,111,461,0,394,77,167,0,0,1,32,35,7,0,214,0,116,0,0,27,0,98,2,0,2815,5007
25,Motihari,2016,87,1129,0,8,23,1,292,11,4,54,279,878,0,615,24,21,71,0,17,119,64,0,0,179,0,136,0,8,79,0,101,0,1,3615,7816
26,Munger,2016,33,5,4,0,11,0,88,5,1,19,57,181,0,148,3,98,0,0,0,1,6,11,0,55,0,47,0,0,54,0,26,0,0,1079,1932
27,Muzaffarpur,2016,134,268,0,50,33,30,389,23,0,103,337,2170,0,353,46,185,57,0,12,108,45,0,0,141,0,256,0,0,33,0,451,1,0,2820,8045
28,Muzaffarpur Railway,2016,16,1,0,0,4,0,19,1,0,3,9,287,0,1,1,19,1,0,1,0,0,8,0,2,0,4,0,0,3,0,1,0,0,132,513
29,Nalanda,2016,72,276,2,323,34,0,323,14,0,46,115,734,62,325,5,255,7,0,7,235,47,13,0,108,0,109,0,0,24,0,287,1,0,2906,6330
30,Naugachia,2016,32,0,0,0,5,0,41,2,0,10,10,75,0,102,8,17,7,0,1,0,8,7,0,28,0,76,0,0,14,0,60,0,0,714,1217
31,Nawadah,2016,60,41,0,0,18,7,158,8,0,13,27,330,0,225,30,198,9,0,1,1281,20,10,0,56,0,110,0,0,5,0,86,1,0,486,3180
32,Patna,2016,261,22,0,0,75,15,1006,37,0,167,772,3802,0,745,21,1384,0,3,3,3296,98,117,3,455,0,458,0,0,193,0,465,0,6,3785,17189
33,Patna Railway,2016,6,3,0,0,1,0,12,3,2,5,3,665,0,7,1,12,0,0,0,6,4,19,0,0,0,1,0,0,0,0,0,0,0,326,1076
34,Purnea,2016,80,0,0,0,23,0,142,7,0,43,82,426,30,217,29,11,17,0,4,96,28,0,0,62,0,244,0,0,9,0,92,0,0,2066,3708
35,Rohtas,2016,76,42,5,1,25,3,176,16,3,51,208,742,0,288,107,13,119,0,0,1659,25,1,0,81,0,179,0,0,24,0,107,0,1,987,4939
36,Saharsa,2016,39,95,1,6,25,0,128,6,1,30,97,299,21,566,14,157,0,0,4,16,8,1,0,43,0,48,0,0,20,0,65,0,0,1299,2989
37,Samastipur,2016,87,367,5,10,19,0,259,4,0,28,65,483,352,314,2,175,5,0,12,76,36,1,0,98,0,156,0,0,17,0,298,0,1,2214,5084
38,Saran,2016,137,593,0,0,36,0,329,25,0,84,209,899,0,704,20,465,41,0,32,157,45,0,0,210,0,181,0,0,0,0,111,0,0,3233,7511
39,Sheikhpura,2016,16,328,0,0,11,0,38,5,0,7,42,90,0,115,4,73,7,0,3,241,4,15,0,63,0,32,0,0,16,0,29,0,0,260,1399
40,Sheohar,2016,10,3,0,2,5,0,31,3,0,5,7,43,0,17,5,16,5,0,0,51,11,9,0,14,0,12,0,0,13,0,8,0,0,341,611
41,Sitamarhi,2016,60,285,0,32,23,19,247,8,6,28,128,509,286,159,25,51,88,0,11,332,25,0,0,158,0,26,0,0,48,0,161,0,0,1731,4446
42,Siwan,2016,59,138,0,54,28,0,180,7,0,36,98,764,228,354,17,174,18,0,1,339,41,0,0,83,0,112,0,0,22,0,201,0,0,1471,4425
43,Supaul,2016,39,290,6,34,37,15,149,4,0,44,53,252,455,529,92,80,1,0,39,56,12,1,0,31,0,88,0,0,23,0,42,0,0,542,2914
44,Vaishali,2016,73,261,0,42,26,0,239,7,0,51,116,921,132,381,30,166,0,0,17,453,51,0,0,85,0,47,0,0,21,0,310,0,0,1533,4962
45,Economic Offences Unit,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
46,Anti Terrorist Squad,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Total District(s),,2581,6998,150,1364,1008,321,7324,349,62,1410,4511,22228,1796,11617,1361,5889,1358,20,472,12040,987,324,167,3794,0,4479,8,8,1251,0,5240,25,24,64997,164163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State: Chhattisgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Balod,2016,15,6,2,0,33,2,28,0,0,2,73,81,0,12,2,19,8,1,9,13,2,46,2,11,0,105,0,0,5,0,254,3,0,708,1442
2,Balodbazar,2016,38,23,1,0,81,1,119,0,0,9,172,217,0,34,5,29,0,0,15,48,9,97,6,32,0,172,0,0,2,0,368,1,1,775,2255
3,Balrampur,2016,31,16,0,0,76,0,28,1,0,4,39,43,13,13,2,13,4,0,7,17,4,35,0,17,0,138,0,0,7,0,154,2,0,338,1002
4,Bemetra,2016,20,5,1,0,41,0,44,1,0,9,71,128,0,20,0,16,0,0,6,10,2,51,2,10,0,101,0,0,0,0,255,0,1,760,1554
5,Bilaspur,2016,72,33,2,0,121,0,246,2,3,68,382,680,0,99,10,85,0,1,43,78,6,238,2,76,0,273,0,0,2,0,932,3,4,2096,5557
6,Bizapur,2016,32,82,0,0,7,0,14,4,0,2,13,4,0,4,0,1,0,0,6,0,0,3,0,0,0,25,0,0,0,0,77,0,0,78,352
7,Dantewara,2016,24,29,0,0,12,0,15,4,0,3,22,35,0,6,2,3,0,0,10,1,0,6,0,0,0,43,0,0,0,0,111,1,0,149,476
8,Dhamtari,2016,16,4,1,0,49,0,18,1,0,13,49,83,0,14,4,20,0,0,11,30,3,34,2,12,0,105,0,0,0,0,240,0,0,424,1133
9,Durg,2016,37,43,3,0,105,6,235,4,0,34,377,704,0,31,15,149,0,6,41,31,13,254,14,91,0,273,0,0,4,0,1242,2,4,3588,7306
10,Gariyaband,2016,20,12,0,0,42,1,23,0,0,4,33,35,0,25,7,24,1,0,6,17,0,34,4,19,0,63,0,0,1,0,196,2,1,477,1047
11,G. R. P. Raipur,2016,5,3,0,0,2,0,1,0,0,4,2,478,0,3,0,1,0,0,0,8,0,6,0,0,0,1,0,0,0,0,0,0,0,36,550
12,Jagdalpur,2016,30,27,0,0,45,0,43,1,0,6,64,74,0,14,0,16,0,0,7,5,1,21,1,9,0,121,0,0,0,0,0,6,0,762,1253
13,Janjgir,2016,43,19,1,0,67,0,133,0,0,22,206,205,0,46,9,66,0,0,13,64,7,100,10,58,0,220,0,0,4,0,530,0,1,857,2681
14,Jashpur,2016,56,11,2,0,75,0,72,3,1,10,48,53,0,18,5,22,0,0,9,33,0,31,1,8,0,139,0,0,5,0,222,13,0,275,1112
15,Kabirdham,2016,16,10,2,0,40,0,71,0,0,3,42,37,0,21,4,23,0,0,8,26,3,62,3,14,0,95,0,0,0,0,226,0,1,673,1380
16,Kanker,2016,38,27,2,1,38,0,35,2,1,4,83,115,0,27,3,16,0,1,7,11,0,30,9,14,0,100,0,0,2,0,320,2,1,347,1236
17,Kondagaon,2016,26,16,1,0,20,0,25,9,0,2,30,30,0,11,2,8,0,0,7,13,0,12,1,4,0,87,0,0,0,0,189,2,1,149,645
18,Korba,2016,52,12,5,0,60,0,79,5,1,20,152,192,0,29,11,41,27,1,15,37,6,54,4,41,0,192,0,0,0,0,538,2,0,519,2095
19,Koriya,2016,28,21,0,0,73,0,75,0,0,8,100,84,0,21,2,42,0,0,5,44,0,72,3,38,0,114,0,0,0,0,224,0,0,746,1700
20,Mahasamund,2016,31,8,0,0,55,0,66,2,0,10,123,160,0,13,4,21,0,2,8,45,5,45,2,16,0,205,0,0,0,0,354,1,0,629,1805
21,Mungali,2016,20,20,1,0,21,0,56,0,0,5,63,66,0,14,1,25,0,0,10,17,3,35,1,20,0,75,0,0,1,0,236,0,0,408,1098
22,Narayanpur,2016,12,34,0,0,7,1,12,3,0,0,10,7,0,2,0,1,0,0,2,0,0,3,0,2,0,21,0,0,0,0,45,0,1,31,194
23,Raigarh,2016,68,41,10,0,155,4,106,2,0,23,196,270,0,62,5,108,0,1,15,76,8,121,13,32,0,217,0,0,0,0,0,4,0,1212,2749
24,Raipur,2016,59,71,0,0,173,2,297,6,2,71,429,1157,0,46,28,178,0,7,34,92,3,183,13,51,0,467,0,0,8,0,1911,0,4,2248,7540
25,Rajnandgaon,2016,49,38,1,0,64,3,97,0,0,21,191,210,0,34,5,54,0,14,16,10,8,68,5,20,0,187,0,0,9,0,694,0,1,1218,3017
26,Sarguja,2016,48,11,1,0,80,0,95,0,0,12,128,187,44,0,5,57,0,0,19,32,1,73,3,10,0,123,0,0,8,0,342,2,0,866,2147
27,Sukma,2016,37,58,0,0,2,0,7,10,0,2,2,10,0,4,1,0,0,0,4,0,0,4,0,0,0,18,0,0,0,0,41,0,0,38,238
28,Surajpur,2016,34,10,1,0,82,0,31,0,0,8,109,105,0,29,7,30,0,1,8,28,0,52,0,17,0,150,0,0,8,0,235,0,1,519,1465
29,Total District(s),,957,690,37,1,1626,20,2071,60,8,379,3209,5450,57,652,139,1068,40,35,341,786,84,1770,101,622,0,3830,0,0,66,0,9936,46,22,20926,55029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State: Goa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
