state,SL,District,YEAR,Arms Act,NDPS  Act,Gambling Act,Excise Act,Prohibition Act,Explosives & Explosive Substances Act,Immoral Traffic (Prevention) Act,ITPAct Under Section 5,ITPAct Under Section 6,ITPAct Under Section 7,ITPAct Under Section 8,Other Sections under ITP Act,Indian Railways Act,Registration of Foreigners Act,Protection of Civil Rights Act,PCR Act for crimes committed against SCs,PCR Act for crimes committed against STs,PCR Act for crimes committed against Others,Passport Act,Essential Commodities Act,Antiquities & Art Treasures Act,Dowry Prohibition Act,Indecent Representation of Women (Prohibition) Act,Copyright Act,Protection of Children from Sexual Offences Act,SC/ST (POA) Act,POA Act for SCs,POA Act for STs,Forest Act,Prohibition of Child Marriage Act,Protection of Women from Domestic Violence Act,Information Technology Act,Official Secrets Act,Electricity Act,Wildlife Protection Act,Bonded Labour System (Abolition) Act,Bonded Labour - Against SCs,Bonded Labour - Against STs,Bonded Labour - Against others,Environmental (Protection) Act,Air (Prevention & Control of Pollution) Act,Water (Prevention & Control of Pollution) Act,National Security Act,Unlawful Activities (Prevention) Act,Young Persons (Harmful Publications) Act,Railway Property (Unlawful Possession) Act,Prevention of Damage to Public Property Act,Transplantation of Human Organs Act,Trade Marks Act,Prevention of Insults to National Honour Act,State Emblem  (Prohibition of Improper Use) Act,Lotteries (Regulation) Act,Citizenship Act,Foreigners Act,Place of Worship (Special Provisions) Act,Religious Institution (Prevention of Misuse) Act,Representation of the People Act,Emigration Act,Juvenile Justice (Care and Protection of Children) Act,Infant Substitutes Regulation Act,Anti-Hijacking Act,Atomic Energy Act,Weapons of Mass Destruction (Proh of Unlawful Activities) Act,Supprn of Unlawful Acts against Safety of Civil Aviation Act,Safety of Maritime Navigation Act,Manual Scavengers and Construction of Dry Latrines (P) Act,Pre-Natal Diagnostic Techniques (Reg and Prev of Misuse) Act,The Maritime Zone of India (Reg of Fishing by For Vessel) Act,Other SLL crimes,Total Cognizable SLL crimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Jammu & Kashmir,11,Jammu,2015,11,98,0,110,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,Jammu & Kashmir,,,
 Jammu & Kashmir,12,Kargil,2015,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,Jammu & Kashmir,,,
 Jammu & Kashmir,13,Kathua,2015,3,51,0,56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,Jammu & Kashmir,,,
 Jammu & Kashmir,14,Kishtwar,2015,6,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,Jammu & Kashmir,,,
 Jammu & Kashmir,15,Kulgam,2015,1,47,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,Jammu & Kashmir,,,
 Jammu & Kashmir,16,Kupwara,2015,7,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16,Jammu & Kashmir,,,
 Jammu & Kashmir,17,Leh,2015,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,17,Jammu & Kashmir,,,
 Jammu & Kashmir,18,Poonch,2015,7,4,0,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,18,Jammu & Kashmir,,,
 Jammu & Kashmir,19,Pulwama,2015,5,20,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,19,Jammu & Kashmir,,,
 Jammu & Kashmir,20,Railways Jammu,2015,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,Jammu & Kashmir,,,
